"","hhid","ffexwkpc","lny","mothed","fathed","mothage","fathage","nutrsc1","qrpcorn","qrprice","popden","adeqvhh","rd1","rd2","rd3","cultarpc","avnetwth","electr"
"829",266,26.30845,3.882644,10,5,29.04167,44.74445,13,3.421126,6.079806,223,3.934108,1,0,0,0.85,14469,1
"830",266,17.24461,3.882644,10,5,29.04167,44.96666,13,4.149102,5.263319,223,3.934108,0,1,0,0.85,14469,1
"831",266,31.32534,3.882644,10,5,29.04167,45.36389,13,3.853058,5.624732,223,4.023256,0,0,1,0.85,14469,1
"832",266,27.73675,3.882644,10,5,29.04167,45.63333,13,3.865443,5.172625,223,4.023256,0,0,0,0.85,14469,1
"833",267,20.86254,3.437442,5,0,44.15,47.72223,8,3.478346,5.703815,223,5.934109,1,0,0,0.25,1495,0
"834",267,18.24631,3.437442,5,0,44.15,47.93056,8,3.954082,4.829803,223,5.934109,0,1,0,0.25,1495,0
"835",267,16.65769,3.437442,5,0,44.15,48.31111,8,3.48303,4.763533,223,5.337209,0,0,1,0.2222222,1495,0
"836",267,25.21417,3.437442,5,0,44.15,48.59166,8,4.002455,4.761624,223,6.217054,0,0,0,0.2222222,1495,0
"837",269,57.76434,3.617831,14,10,28.75,32.63889,14,4,3.80939,223,5.930233,1,0,0,0.1666667,24647.5,1
"838",269,24.07956,3.617831,14,10,28.75,32.84722,14,3.925152,4.906656,223,6.732558,0,1,0,0.1666667,24647.5,1
"839",269,35.93063,3.617831,14,10,28.75,33.22222,14,3.853058,4.45469,223,6.732558,0,0,1,0.1666667,24647.5,1
"840",269,31.39708,3.617831,14,10,28.75,33.52222,14,2.853652,5.367188,223,6.732558,0,0,0,0.1666667,24647.5,1
"841",270,36.62571,2.990317,9,4,26.79445,32.41667,5,4,5.61559,223,5.015504,1,0,0,0.3214286,21247.5,1
"842",270,28.34264,2.990317,9,4,26.79445,32.70278,5,3.945437,3.784575,223,4.844961,0,1,0,0.3214286,21247.5,1
"843",270,30.34361,2.990317,9,4,26.79445,33.07222,5,3.853058,4.104808,223,4.972868,0,0,1,0.3214286,21247.5,1
"844",270,17.63072,2.990317,9,4,26.79445,33.35,5,4.138381,4.84006,223,4.972868,0,0,0,0.28125,21247.5,1
"845",271,51.13714,3.664976,4,6,30.76389,36.44167,9,4,5.563834,223,5.426357,1,0,0,0.3571429,7864,0
"846",271,25.30693,3.664976,4,6,30.76389,36.66389,9,4.871708,5.054857,223,5.426357,0,1,0,0.3571429,7864,0
"847",271,23.99942,3.664976,4,6,30.76389,37.05555,9,4.573904,6.405281,223,5.581395,0,0,1,0.3571429,7864,0
"848",271,29.46575,3.664976,4,6,30.76389,37.33889,9,3.510836,5.613636,223,5.581395,0,0,0,0.3571429,7864,0
"849",272,63.06572,3.629053,4,5,41.17778,44.575,5,3.385613,5.609528,223,4.655039,1,0,0,0.375,10934.5,0
"850",272,44.285,3.629053,4,5,41.17778,44.78611,5,3.749348,4.981723,223,4.655039,0,1,0,0.375,10934.5,0
"851",272,34.49179,3.629053,4,5,41.17778,45.16945,5,3.745752,4.66751,223,4.612403,0,0,1,0.3214286,10934.5,0
"852",272,29.41623,3.629053,4,5,41.17778,45.43889,5,4.086192,5.055107,223,4.612403,0,0,0,0.3214286,10934.5,0
"853",273,14.51967,2.857796,6,3,28.92778,31.65556,5,3.502627,5.583729,223,4.573643,1,0,0,0.1354167,1558,0
